"qualifier","baseTreeNum","count"
"adverse effects","A10",9
"adverse effects","A11",6
"adverse effects","A12",13
"adverse effects","A13",1
"adverse effects","A16",1
"adverse effects","A17",2
"adverse effects","A18",44
"adverse effects","A19",1
"adverse effects","A21",1
"adverse effects","B01",1219
"adverse effects","B05",1
"adverse effects","C23",1
"adverse effects","C25",1
"adverse effects","C26",1
"adverse effects","D01",1108
"adverse effects","D02",3499
"adverse effects","D03",2009
"adverse effects","D04",655
"adverse effects","D05",299
"adverse effects","D06",306
"adverse effects","D08",2365
"adverse effects","D09",461
"adverse effects","D10",402
"adverse effects","D12",7952
"adverse effects","D13",516
"adverse effects","D20",264
"adverse effects","D23",1256
"adverse effects","D25",162
"adverse effects","D26",115
"adverse effects","D27",1052
"adverse effects","E01",764
"adverse effects","E02",683
"adverse effects","E03",43
"adverse effects","E04",846
"adverse effects","E05",510
"adverse effects","E06",203
"adverse effects","E07",406
"adverse effects","F01",31
"adverse effects","F02",1
"adverse effects","F03",1
"adverse effects","F04",12
"adverse effects","G01",96
"adverse effects","G02",20
"adverse effects","G03",1
"adverse effects","G04",1
"adverse effects","G05",36
"adverse effects","G07",205
"adverse effects","G08",5
"adverse effects","G09",7
"adverse effects","G11",11
"adverse effects","G12",4
"adverse effects","G14",1
"adverse effects","G16",30
"adverse effects","H02",6
"adverse effects","I01",16
"adverse effects","I03",13
"adverse effects","J01",253
"adverse effects","J02",168
"adverse effects","L01",14
"adverse effects","N01",1
"adverse effects","N02",45
"adverse effects","N04",4
"adverse effects","N05",24
"adverse effects","N06",127
"adverse effects","[OB",30
