"s","p"
"http://id.nlm.nih.gov/mesh/D064704","http://id.nlm.nih.gov/mesh/vocab#broaderDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000031","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000008","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000009","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000032","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000037","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000097","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000134","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000138","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000145","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000176","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000191","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000266","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000276","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000302","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000378","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000493","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000494","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000506","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000528","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000592","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000600","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000627","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000633","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000652","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000737","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000744","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
"http://id.nlm.nih.gov/mesh/D015242Q000819","http://id.nlm.nih.gov/mesh/vocab#hasDescriptor"
