"school","schoolLabel","coffeeShop","coffeeShopLabel"
"http://linkedgeodata.org/triplify/way24305445","Grundschule unter den Kastanien","http://linkedgeodata.org/triplify/node1002586793","torrefazione"
"http://linkedgeodata.org/triplify/way131657765","DCIS at Fairmont","http://linkedgeodata.org/triplify/node1030196179","Metropolis Coffee"
"http://linkedgeodata.org/triplify/node358921210","Byers Alternative High School","http://linkedgeodata.org/triplify/node1030196179","Metropolis Coffee"
"http://linkedgeodata.org/triplify/way340000615","Legend High School Campus","http://linkedgeodata.org/triplify/node1030196179","Metropolis Coffee"
"http://linkedgeodata.org/triplify/node358921208","Saint Francis de Sales School","http://linkedgeodata.org/triplify/node1030196179","Metropolis Coffee"
"http://linkedgeodata.org/triplify/way104629190","Regis Jesuit High School","http://linkedgeodata.org/triplify/node1030196179","Metropolis Coffee"
"http://linkedgeodata.org/triplify/way351678833","Conifer High School","http://linkedgeodata.org/triplify/node1030196179","Metropolis Coffee"
"http://linkedgeodata.org/triplify/node358921218","Sherman Elementary School (historical)","http://linkedgeodata.org/triplify/node1030196179","Metropolis Coffee"
"http://linkedgeodata.org/triplify/way52565065","GU Göteborg Organ Art Center","http://linkedgeodata.org/triplify/node1035762953","Kajsas Kafé"
"http://linkedgeodata.org/triplify/way52564793","Jensen Gymnasium","http://linkedgeodata.org/triplify/node1035762953","Kajsas Kafé"
"http://linkedgeodata.org/triplify/way124433422","Johannebergsskolan","http://linkedgeodata.org/triplify/node1035762953","Kajsas Kafé"
"http://linkedgeodata.org/triplify/way41820985","Hvitfeldtska Gymnasiet Södra byggnaden","http://linkedgeodata.org/triplify/node1035762953","Kajsas Kafé"
"http://linkedgeodata.org/triplify/way26634020","Hvitfeldtska gymnasiet","http://linkedgeodata.org/triplify/node1035762953","Kajsas Kafé"
"http://linkedgeodata.org/triplify/way52564938","Vasaskolan","http://linkedgeodata.org/triplify/node1035762953","Kajsas Kafé"
"http://linkedgeodata.org/triplify/node2137719437","Göteborgs Frisörskola","http://linkedgeodata.org/triplify/node1035762953","Kajsas Kafé"
"http://linkedgeodata.org/triplify/node1809419997","Franska Skolan","http://linkedgeodata.org/triplify/node1035762953","Kajsas Kafé"
"http://linkedgeodata.org/triplify/node299229463","Burgårdens Gymnasium","http://linkedgeodata.org/triplify/node1035762953","Kajsas Kafé"
"http://linkedgeodata.org/triplify/node482669189","Franska skolan i Göteborg","http://linkedgeodata.org/triplify/node1035762953","Kajsas Kafé"
"http://linkedgeodata.org/triplify/node3134965609","Fenestra","http://linkedgeodata.org/triplify/node1035762953","Kajsas Kafé"
"http://linkedgeodata.org/triplify/node1809420018","Medborgarskolan","http://linkedgeodata.org/triplify/node1035762953","Kajsas Kafé"
"http://linkedgeodata.org/triplify/node2137607177","Ingrid Segerstedts Gymnasium","http://linkedgeodata.org/triplify/node1035762953","Kajsas Kafé"
"http://linkedgeodata.org/triplify/way172382575","Kopernikusschule","http://linkedgeodata.org/triplify/node1391580027","Tchibo"
"http://linkedgeodata.org/triplify/way122337548","Johann-August-Zeune-Schule für Blinde","http://linkedgeodata.org/triplify/node1391580027","Tchibo"
"http://linkedgeodata.org/triplify/way123810523","Private Kant-Grundschule","http://linkedgeodata.org/triplify/node1391580027","Tchibo"
"http://linkedgeodata.org/triplify/way122333245","Paulsen-Gymnasium","http://linkedgeodata.org/triplify/node1391580027","Tchibo"
"http://linkedgeodata.org/triplify/way41590257","Private Kant-Schule","http://linkedgeodata.org/triplify/node1391580027","Tchibo"
"http://linkedgeodata.org/triplify/way28577293","Oberstufenzentrum Bürowirtschaft I","http://linkedgeodata.org/triplify/node1391580027","Tchibo"
"http://linkedgeodata.org/triplify/way172382574","Dunant-Grundschule","http://linkedgeodata.org/triplify/node1391580027","Tchibo"
"http://linkedgeodata.org/triplify/node638499570","Fichtenberg-Oberschule","http://linkedgeodata.org/triplify/node1391580027","Tchibo"
"http://linkedgeodata.org/triplify/node638499559","Rothenburg-Grundschule","http://linkedgeodata.org/triplify/node1391580027","Tchibo"
"http://linkedgeodata.org/triplify/node352983260","Gymnasium Steglitz","http://linkedgeodata.org/triplify/node1391580027","Tchibo"
"http://linkedgeodata.org/triplify/way259763010","Melanchthonschule","http://linkedgeodata.org/triplify/node2092021178","Hanseatica"
"http://linkedgeodata.org/triplify/way136783930","Hauptschule Innenstadt","http://linkedgeodata.org/triplify/node2092021178","Hanseatica"
"http://linkedgeodata.org/triplify/way168062848","Uhland-Gymnasium","http://linkedgeodata.org/triplify/node2092021178","Hanseatica"
"http://linkedgeodata.org/triplify/way256923489","Container Lindenbrunnenpavillon Grundschule Innenstadt","http://linkedgeodata.org/triplify/node2092021178","Hanseatica"
"http://linkedgeodata.org/triplify/way112572749","Albert-Schweitzer-Realschule","http://linkedgeodata.org/triplify/node2092021178","Hanseatica"
"http://linkedgeodata.org/triplify/way136783867","Grundschule Innenstadt","http://linkedgeodata.org/triplify/node2092021178","Hanseatica"
"http://linkedgeodata.org/triplify/way23045720","Obchodná akadémia Nevädzová 3","http://linkedgeodata.org/triplify/node2096839499","dobrakava.eu"
"http://linkedgeodata.org/triplify/node1765492335","Súkromná pedagogická a sociálna akadémia","http://linkedgeodata.org/triplify/node2096839499","dobrakava.eu"
"http://linkedgeodata.org/triplify/way60895787","ZŠ Nevädzová","http://linkedgeodata.org/triplify/node2096839499","dobrakava.eu"
"http://linkedgeodata.org/triplify/node1788769228","English in the City - jazyková škola","http://linkedgeodata.org/triplify/node2096839499","dobrakava.eu"
"http://linkedgeodata.org/triplify/way60894712","Špeciálna základná škola s vyučovacím jazykom slovenským a maďarským","http://linkedgeodata.org/triplify/node2096839499","dobrakava.eu"
"http://linkedgeodata.org/triplify/node1765492338","Základná škola Ružová dolina 29","http://linkedgeodata.org/triplify/node2096839499","dobrakava.eu"
"http://linkedgeodata.org/triplify/node884353165","ZUŠ Ľudovíta Rajtera","http://linkedgeodata.org/triplify/node2096839499","dobrakava.eu"
"http://linkedgeodata.org/triplify/node2772267180","ZUŠ Ľudovíta Rajtera","http://linkedgeodata.org/triplify/node2096839499","dobrakava.eu"
"http://linkedgeodata.org/triplify/way83869865","Technisches Schulzentrum","http://linkedgeodata.org/triplify/node441246323","Kaffeehaus Hagen"
