"s","l","g"
"http://linkedgeodata.org/triplify/node1002334764","Backstube Hommen","POINT(7.727263 50.4648984)"
"http://linkedgeodata.org/triplify/node1002798708","Kiliansbäck","POINT(9.9341966 49.7959894)"
"http://linkedgeodata.org/triplify/node1005822875","Café Konditorei Kunz","POINT(7.9526497 47.5466991)"
"http://linkedgeodata.org/triplify/node1006711174","Frau Lüske","POINT(13.2951499 52.437981)"
"http://linkedgeodata.org/triplify/node1058851201","Hamich","POINT(8.4017612 51.3085513)"
"http://linkedgeodata.org/triplify/node1059226098","Schuhmacher","POINT(9.8980778 47.9090111)"
"http://linkedgeodata.org/triplify/node1082143227","Bäckerei Mertins","POINT(12.1354628 54.0829595)"
"http://linkedgeodata.org/triplify/node1086594181","Middelberg Café","POINT(7.6311118 51.9333608)"
"http://linkedgeodata.org/triplify/node1091830622","Olé Madrid","POINT(11.5585283 48.1276501)"
"http://linkedgeodata.org/triplify/node1092654592","Bäckerei Goethe","POINT(10.7829622 51.833469)"
