"s","l","g"
"http://linkedgeodata.org/triplify/node308837039","Harun","POINT(12.3739726 51.3104552)"
"http://linkedgeodata.org/triplify/node1119052583","Asia Imbiss am Kreuz","POINT(12.3727215 51.310309)"
"http://linkedgeodata.org/triplify/node1119052610","casino del rey","POINT(12.3721324 51.3097201)"
"http://linkedgeodata.org/triplify/node1119052634","Curry Süd Imbiss","POINT(12.3726144 51.3102458)"
"http://linkedgeodata.org/triplify/node1121258531","Fahrschule Richter","POINT(12.3725301 51.3102322)"
"http://linkedgeodata.org/triplify/node299676498","Connstanze","POINT(12.3719098 51.3101428)"
"http://linkedgeodata.org/triplify/node677191384","Cammerspiele e.V.","POINT(12.3721415 51.3102029)"
"http://linkedgeodata.org/triplify/node1366723475","Asia Imbiss Nem","POINT(12.3742571 51.3104351)"
"http://linkedgeodata.org/triplify/node2557612771","Le Mingo","POINT(12.373532 51.311008)"
"http://linkedgeodata.org/triplify/node316276351","Saxonia-Apotheke","POINT(12.3735029 51.3103055)"
"http://linkedgeodata.org/triplify/node386028215","Baba","POINT(12.3739773 51.3098804)"
