"type","typeCount"
"http://geovocab.org/geometry#Geometry",124409670
"http://geovocab.org/spatial#Feature",16408962
"http://xmlns.com/foaf/0.1/Document",16078097
"http://www.geonames.org/ontology#Feature",11985741
"http://linkedgeodata.org/meta/Node",10820527
"http://linkedgeodata.org/ontology/Amenity",8627075
"http://linkedgeodata.org/meta/Way",5588435
"http://www.w3.org/2002/07/owl#Thing",5275003
"http://linkedgeodata.org/ontology/Place",3665609
"http://dbpedia.org/class/yago/PhysicalEntity100001930",2822490
"http://dbpedia.org/class/yago/Object100002684",2720460
"http://dbpedia.org/ontology/CareerStation",2586863
"http://dbpedia.org/class/yago/YagoLegalActorGeo",2190192
"http://www.w3.org/2004/02/skos/core#Concept",2102614
"http://dbpedia.org/ontology/Agent",2088736
"http://www.wikidata.org/entity/Q24229398",2088736
"http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent",2088736
"http://dbpedia.org/ontology/TimePeriod",2070728
"http://dbpedia.org/class/yago/Whole100003553",2061273
"http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#TimeInterval",1919807
"http://linkedgeodata.org/ontology/Parking",1825119
"http://dbpedia.org/ontology/Person",1792767
"http://www.wikidata.org/entity/Q215627",1730028
"http://schema.org/Person",1730028
"http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson",1730028
"http://www.wikidata.org/entity/Q5",1730028
"http://xmlns.com/foaf/0.1/Person",1730028
"http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity",1654844
"http://linkedgeodata.org/ontology/ManMadeThing",1644040
"http://linkedgeodata.org/ontology/Shop",1560576
"http://dbpedia.org/class/yago/YagoLegalActor",1548332
"http://linkedgeodata.org/ontology/Building",1483894
"http://dbpedia.org/class/yago/LivingThing100004258",1366067
"http://dbpedia.org/class/yago/Organism100004475",1365760
"http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing",1235103
"http://dbpedia.org/class/yago/CausalAgent100007347",1229051
"http://dbpedia.org/class/yago/Person100007846",1216440
"http://linkedgeodata.org/ontology/UnclassifiedBuilding",1151985
"http://dbpedia.org/class/yago/Abstraction100002137",1079890
"http://linkedgeodata.org/ontology/Locality",1028964
"http://dbpedia.org/class/yago/YagoGeoEntity",989272
"http://linkedgeodata.org/ontology/Boundary",976970
"http://linkedgeodata.org/ontology/Village",961704
"http://linkedgeodata.org/ontology/Hamlet",955405
"http://linkedgeodata.org/ontology/AdministrativeBoundary",860503
"http://id.nlm.nih.gov/mesh/vocab#Term",846178
"http://dbpedia.org/ontology/Place",737513
"http://schema.org/Place",737512
"http://dbpedia.org/ontology/Location",737512
"http://linkedgeodata.org/ontology/PlaceOfWorship",711540
"http://dbpedia.org/class/yago/Artifact100021939",689249
"http://linkedgeodata.org/ontology/School",680169
"http://id.nlm.nih.gov/mesh/vocab#AllowedDescriptorQualifierPair",664133
"http://dbpedia.org/class/yago/WikicatLivingPeople",659094
"http://dbpedia.org/class/yago/Location100027167",644115
"http://dbpedia.org/class/yago/Region108630985",620586
"http://www.wikidata.org/entity/Q386724",603110
"http://schema.org/CreativeWork",603110
"http://dbpedia.org/ontology/Work",603110
"http://dbpedia.org/ontology/PopulatedPlace",582191
