"country","name"
"https://sws.geonames.org/3355338/","Namibia"
"https://sws.geonames.org/878675/","Zimbabwe"
"https://sws.geonames.org/1269750/","India"
"https://sws.geonames.org/1327865/","Myanmar"
"https://sws.geonames.org/1605651/","Thailand"
"https://sws.geonames.org/1814991/","China"
"https://sws.geonames.org/1220409/","Tajikistan"
"https://sws.geonames.org/1227603/","Sri Lanka"
"https://sws.geonames.org/1733045/","Malaysia"
"https://sws.geonames.org/1282028/","Maldives"
"https://sws.geonames.org/3686110/","Colombia"
"https://sws.geonames.org/2921044/","Germany"
"https://sws.geonames.org/3996063/","Mexico"
"https://sws.geonames.org/2233387/","Cameroon"
"https://sws.geonames.org/2328926/","Nigeria"
"https://sws.geonames.org/2782113/","Austria"
"https://sws.geonames.org/3723988/","Haiti"
"https://sws.geonames.org/3017382/","France"
"https://sws.geonames.org/932692/","Lesotho"
"https://sws.geonames.org/934841/","Eswatini"
"https://sws.geonames.org/953987/","South Africa"
"https://sws.geonames.org/1168579/","Pakistan"
"https://sws.geonames.org/1820814/","Brunei"
"https://sws.geonames.org/2378080/","Mauritania"
"https://sws.geonames.org/2963597/","Ireland"
"https://sws.geonames.org/2960313/","Luxembourg"
"https://sws.geonames.org/2993457/","Monaco"
"https://sws.geonames.org/3164670/","Vatican City"
"https://sws.geonames.org/3190538/","Slovenia"
"https://sws.geonames.org/3277605/","Bosnia and Herzegovina"
"https://sws.geonames.org/3469034/","Brazil"
"https://sws.geonames.org/3437598/","Paraguay"
"https://sws.geonames.org/3439705/","Uruguay"
"https://sws.geonames.org/3202326/","Croatia"
"https://sws.geonames.org/3576396/","Antigua and Barbuda"
"https://sws.geonames.org/3576468/","Saint Lucia"
"https://sws.geonames.org/3577815/","St Vincent and Grenadines"
"https://sws.geonames.org/3580239/","Grenada"
"https://sws.geonames.org/3585968/","El Salvador"
"https://sws.geonames.org/3617476/","Nicaragua"
"https://sws.geonames.org/3624060/","Costa Rica"
"https://sws.geonames.org/3168068/","San Marino"
"https://sws.geonames.org/3895114/","Chile"
"https://sws.geonames.org/3923057/","Bolivia"
"https://sws.geonames.org/3595528/","Guatemala"
"https://sws.geonames.org/3582678/","Belize"
"https://sws.geonames.org/3573591/","Trinidad and Tobago"
"https://sws.geonames.org/3575174/","St Kitts and Nevis"
"https://sws.geonames.org/3575830/","Dominica"
"https://sws.geonames.org/3508796/","Dominican Republic"
"https://sws.geonames.org/3608932/","Honduras"
"https://sws.geonames.org/3932488/","Peru"
"https://sws.geonames.org/3865483/","Argentina"
"https://sws.geonames.org/6251999/","Canada"
"https://sws.geonames.org/3489940/","Jamaica"
"https://sws.geonames.org/3572887/","Bahamas"
