"p","o"
"http://www.geonames.org/ontology#alternateName","ཕརཱནསི"
"http://www.geonames.org/ontology#alternateName","საფრანგეთი"
"http://www.geonames.org/ontology#alternateName","ፈረንሣይ"
"http://www.geonames.org/ontology#alternateName","ፈረንሳይ"
"http://www.geonames.org/ontology#alternateName","បារាំង"
"http://www.geonames.org/ontology#alternateName","フランス"
"http://www.geonames.org/ontology#alternateName","法国"
"http://www.geonames.org/ontology#alternateName","프랑스"
"http://www.geonames.org/ontology#childrenFeatures","https://sws.geonames.org/3017382/contains.rdf"
"http://www.geonames.org/ontology#countryCode","FR"
"http://www.geonames.org/ontology#featureClass","https://www.geonames.org/ontology#A"
"http://www.geonames.org/ontology#featureCode","https://www.geonames.org/ontology#A.PCLI"
"http://www.geonames.org/ontology#locationMap","https://www.geonames.org/3017382/republic-of-france.html"
"http://www.geonames.org/ontology#name","France"
"http://www.geonames.org/ontology#officialName","France"
"http://www.geonames.org/ontology#officialName","Bufalansa"
"http://www.geonames.org/ontology#officialName","Falanisē"
"http://www.geonames.org/ontology#officialName","Falánsɛ"
"http://www.geonames.org/ontology#officialName","Faransa"
"http://www.geonames.org/ontology#officialName","Faransi"
"http://www.geonames.org/ontology#officialName","Farayse"
"http://www.geonames.org/ontology#officialName","Farânzi"
"http://www.geonames.org/ontology#officialName","France"
"http://www.geonames.org/ontology#officialName","France"
"http://www.geonames.org/ontology#officialName","France"
"http://www.geonames.org/ontology#officialName","Francia"
"http://www.geonames.org/ontology#officialName","Francia"
"http://www.geonames.org/ontology#officialName","Frankrigi"
"http://www.geonames.org/ontology#officialName","Frankriika"
"http://www.geonames.org/ontology#officialName","Frans nutome"
"http://www.geonames.org/ontology#officialName","Fransa"
"http://www.geonames.org/ontology#officialName","Franța"
"http://www.geonames.org/ontology#officialName","Frañs"
"http://www.geonames.org/ontology#officialName","Frɛnkyeman"
"http://www.geonames.org/ontology#officialName","Furansi"
"http://www.geonames.org/ontology#officialName","Nfalanse"
"http://www.geonames.org/ontology#officialName","Orílẹ́ède Faranse"
"http://www.geonames.org/ontology#officialName","Pow Frenk"
"http://www.geonames.org/ontology#officialName","Prancis"
"http://www.geonames.org/ontology#officialName","Ubaranja"
"http://www.geonames.org/ontology#officialName","Ubufaransa"
"http://www.geonames.org/ontology#officialName","i-France"
"http://www.geonames.org/ontology#officialName","Франц"
"http://www.geonames.org/ontology#officialName","Франция"
"http://www.geonames.org/ontology#officialName","फ़्रांस"
"http://www.geonames.org/ontology#officialName","ফ্ৰান্স"
"http://www.geonames.org/ontology#officialName","ફ્રાંસ"
"http://www.geonames.org/ontology#officialName","ଫ୍ରାନ୍ସ"
"http://www.geonames.org/ontology#officialName","ප්‍රංශය"
"http://www.geonames.org/ontology#officialName","ཕ་རཱན་སི།"
"http://www.geonames.org/ontology#officialName","ပြင်သစ်"
"http://www.geonames.org/ontology#officialName","ፈረንሳይ"
"http://www.geonames.org/ontology#officialName","フランス共和国"
"http://www.geonames.org/ontology#officialName","ꃔꇩ"
"http://www.geonames.org/ontology#parentFeature","https://sws.geonames.org/6255148/"
"http://www.geonames.org/ontology#parentFeature","https://sws.geonames.org/6695072/"
"http://www.geonames.org/ontology#parentFeature","https://sws.geonames.org/9408659/"
"http://www.geonames.org/ontology#population","64768389"
"http://www.geonames.org/ontology#wikipediaArticle","https://en.wikipedia.org/wiki/France"
"http://www.geonames.org/ontology#wikipediaArticle","https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D0%B8%D1%8F"
"http://www.w3.org/2003/01/geo/wgs84_pos#lat","46"
"http://xmlns.com/foaf/0.1/page","http://rdf.insee.fr/geo/PAYS_FR"
"http://www.geonames.org/ontology#neighbouringFeatures","https://sws.geonames.org/3017382/neighbours.rdf"
