"p","o"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.geonames.org/ontology#Feature"
"http://www.w3.org/2000/01/rdf-schema#isDefinedBy","https://sws.geonames.org/3017382/about.rdf"
"http://www.w3.org/2000/01/rdf-schema#seeAlso","https://dbpedia.org/resource/France"
"http://www.w3.org/2003/01/geo/wgs84_pos#long","2"
"http://www.geonames.org/ontology#alternateName","An Fhrainc"
"http://www.geonames.org/ontology#alternateName","An Fhraing"
"http://www.geonames.org/ontology#alternateName","Bro-C'hall"
"http://www.geonames.org/ontology#alternateName","Falansia"
"http://www.geonames.org/ontology#alternateName","Faransiis"
"http://www.geonames.org/ontology#alternateName","Faransiiska"
"http://www.geonames.org/ontology#alternateName","Farāni"
"http://www.geonames.org/ontology#alternateName","Ffrainc"
"http://www.geonames.org/ontology#alternateName","Frakkland"
"http://www.geonames.org/ontology#alternateName","Frakland"
"http://www.geonames.org/ontology#alternateName","Franca"
"http://www.geonames.org/ontology#alternateName","France"
"http://www.geonames.org/ontology#alternateName","France"
"http://www.geonames.org/ontology#alternateName","France"
"http://www.geonames.org/ontology#alternateName","France"
"http://www.geonames.org/ontology#alternateName","France"
"http://www.geonames.org/ontology#alternateName","France"
"http://www.geonames.org/ontology#alternateName","France"
"http://www.geonames.org/ontology#alternateName","France"
"http://www.geonames.org/ontology#alternateName","Franchiya"
"http://www.geonames.org/ontology#alternateName","Francia"
"http://www.geonames.org/ontology#alternateName","Francia"
"http://www.geonames.org/ontology#alternateName","Francia"
"http://www.geonames.org/ontology#alternateName","Francia"
"http://www.geonames.org/ontology#alternateName","Francia"
"http://www.geonames.org/ontology#alternateName","Francia"
"http://www.geonames.org/ontology#alternateName","Francia"
"http://www.geonames.org/ontology#alternateName","Francia"
"http://www.geonames.org/ontology#alternateName","Franciaország"
"http://www.geonames.org/ontology#alternateName","Francie"
"http://www.geonames.org/ontology#alternateName","Francija"
"http://www.geonames.org/ontology#alternateName","Francija"
"http://www.geonames.org/ontology#alternateName","Francio"
"http://www.geonames.org/ontology#alternateName","Francja"
"http://www.geonames.org/ontology#alternateName","Francja"
"http://www.geonames.org/ontology#alternateName","Francland"
"http://www.geonames.org/ontology#alternateName","Francogallia"
"http://www.geonames.org/ontology#alternateName","Francoska"
"http://www.geonames.org/ontology#alternateName","Francujo"
"http://www.geonames.org/ontology#alternateName","Francuska"
"http://www.geonames.org/ontology#alternateName","Francuska"
"http://www.geonames.org/ontology#alternateName","Francuska"
"http://www.geonames.org/ontology#alternateName","Francë"
"http://www.geonames.org/ontology#alternateName","Francëjô"
"http://www.geonames.org/ontology#alternateName","Francúzsko"
"http://www.geonames.org/ontology#alternateName","Frankreich"
"http://www.geonames.org/ontology#alternateName","Frankreich"
"http://www.geonames.org/ontology#alternateName","Frankriek"
"http://www.geonames.org/ontology#alternateName","Frankriek"
"http://www.geonames.org/ontology#alternateName","Frankrig"
"http://www.geonames.org/ontology#alternateName","Frankrijk"
"http://www.geonames.org/ontology#alternateName","Frankrike"
"http://www.geonames.org/ontology#alternateName","Frankrike"
"http://www.geonames.org/ontology#alternateName","Frankrike"
"http://www.geonames.org/ontology#alternateName","Frankrike"
"http://www.geonames.org/ontology#alternateName","Frankrish"
"http://www.geonames.org/ontology#alternateName","Frankryk"
"http://www.geonames.org/ontology#alternateName","Frankryk"
"http://www.geonames.org/ontology#alternateName","Frankräich"
"http://www.geonames.org/ontology#alternateName","Frans"
"http://www.geonames.org/ontology#alternateName","Fransa"
"http://www.geonames.org/ontology#alternateName","Fransa"
"http://www.geonames.org/ontology#alternateName","Fransa"
"http://www.geonames.org/ontology#alternateName","Fransa"
"http://www.geonames.org/ontology#alternateName","Fransia"
"http://www.geonames.org/ontology#alternateName","Fransia"
"http://www.geonames.org/ontology#alternateName","Fransiya"
"http://www.geonames.org/ontology#alternateName","Fransya"
"http://www.geonames.org/ontology#alternateName","Fransya"
"http://www.geonames.org/ontology#alternateName","Fransän"
"http://www.geonames.org/ontology#alternateName","Frantsa"
"http://www.geonames.org/ontology#alternateName","Frantscha"
"http://www.geonames.org/ontology#alternateName","Frantza"
"http://www.geonames.org/ontology#alternateName","Frantzia"
"http://www.geonames.org/ontology#alternateName","Franza"
"http://www.geonames.org/ontology#alternateName","Franzia"
"http://www.geonames.org/ontology#alternateName","Franzsa"
"http://www.geonames.org/ontology#alternateName","França"
"http://www.geonames.org/ontology#alternateName","França"
"http://www.geonames.org/ontology#alternateName","França"
"http://www.geonames.org/ontology#alternateName","Fraunce"
"http://www.geonames.org/ontology#alternateName","Huák-guók"
"http://www.geonames.org/ontology#alternateName","Perancis"
"http://www.geonames.org/ontology#alternateName","Perancis"
"http://www.geonames.org/ontology#alternateName","Pháp"
"http://www.geonames.org/ontology#alternateName","Pow Frynk"
"http://www.geonames.org/ontology#alternateName","Prancūzija"
"http://www.geonames.org/ontology#alternateName","Pranis"
"http://www.geonames.org/ontology#alternateName","Pransiya"
"http://www.geonames.org/ontology#alternateName","Pransya"
"http://www.geonames.org/ontology#alternateName","Prantsusmaa"
"http://www.geonames.org/ontology#alternateName","Ranska"
"http://www.geonames.org/ontology#alternateName","Republic of France"
"http://www.geonames.org/ontology#alternateName","République Française"
"http://www.geonames.org/ontology#alternateName","Ufaransa"
"http://www.geonames.org/ontology#alternateName","Vrankriek"
"http://www.geonames.org/ontology#alternateName","Yn Rank"
"http://www.geonames.org/ontology#alternateName","fasygu'e"
"http://www.geonames.org/ontology#alternateName","Γαλλία"
"http://www.geonames.org/ontology#alternateName","Фаронса"
"http://www.geonames.org/ontology#alternateName","Франц"
"http://www.geonames.org/ontology#alternateName","Франц улс"
"http://www.geonames.org/ontology#alternateName","Франци"
"http://www.geonames.org/ontology#alternateName","Франция"
"http://www.geonames.org/ontology#alternateName","Франция"
"http://www.geonames.org/ontology#alternateName","Франция"
"http://www.geonames.org/ontology#alternateName","Франция"
"http://www.geonames.org/ontology#alternateName","Франција"
"http://www.geonames.org/ontology#alternateName","Француска"
"http://www.geonames.org/ontology#alternateName","Францыя"
"http://www.geonames.org/ontology#alternateName","Франція"
"http://www.geonames.org/ontology#alternateName","Ֆրանսիա"
"http://www.geonames.org/ontology#alternateName","צרפת"
"http://www.geonames.org/ontology#alternateName","فرانس"
"http://www.geonames.org/ontology#alternateName","فرانسه"
"http://www.geonames.org/ontology#alternateName","فرانسه"
"http://www.geonames.org/ontology#alternateName","فرانسىيە"
"http://www.geonames.org/ontology#alternateName","فرنسا"
"http://www.geonames.org/ontology#alternateName","فەڕەنسا"
"http://www.geonames.org/ontology#alternateName","ܦܪܢܣܐ"
"http://www.geonames.org/ontology#alternateName","ފަރަންސޭސިވިލާތް"
"http://www.geonames.org/ontology#alternateName","फ़्राँस"
"http://www.geonames.org/ontology#alternateName","फ्रांस"
"http://www.geonames.org/ontology#alternateName","फ्रांस"
"http://www.geonames.org/ontology#alternateName","फ्रांस"
"http://www.geonames.org/ontology#alternateName","फ्रान्स"
"http://www.geonames.org/ontology#alternateName","फ्रान्स"
"http://www.geonames.org/ontology#alternateName","ফ্রান্স"
"http://www.geonames.org/ontology#alternateName","ફ્રાઁસ"
"http://www.geonames.org/ontology#alternateName","பிரான்ஸ்"
"http://www.geonames.org/ontology#alternateName","ఫ్రాన్స్‌"
"http://www.geonames.org/ontology#alternateName","ಫ್ರಾನ್ಸ್"
"http://www.geonames.org/ontology#alternateName","ഫ്രാന്‍സ്"
"http://www.geonames.org/ontology#alternateName","ประเทศฝรั่งเศส"
"http://www.geonames.org/ontology#alternateName","ฝรั่งเศส"
"http://www.geonames.org/ontology#alternateName","ຝລັ່ງ"
